Cl_alpha,
X,Y
-10.77290836653387,-1.0944099378881988
-5.673306772908369,-0.628571428571429
-4.908366533864545,-0.5291925465838516
-3.888446215139446,-0.41118012422360284
-2.8685258964143543,-0.29316770186335495
-1.2111553784860547,-0.17515527950310616
1.2111553784860476,0.09813664596273242
2.3585657370517907,0.2161490683229803
4.270916334661351,0.42732919254658297
5.2908366533864495,0.5515527950310553
6.310756972111548,0.6509316770186326
7.330677290836647,0.7751552795031045
7.840637450199196,0.8496894409937878
10.39043824701195,1.0422360248447196
11.282868525896411,1.12919254658385
12.175298804780873,1.2099378881987568
13.450199203187246,1.3217391304347819
15.490039840637444,1.1726708074534153
16.637450199203194,1.067080745341614
